config_name,batch_size,avg_total_latency_ns,std_total_latency_ns,median_total_latency_ns,p5_total_latency_ns,p95_total_latency_ns,avg_per_item_latency_ns,measured_fpr,memory_usage_bytes,avg_predictor_data_movement_time,std_predictor_data_movement_time,avg_predictor_inference_time,std_predictor_inference_time,avg_backup_bf_time,std_backup_bf_time,avg_backup_bf_time_per_key,std_backup_bf_time_per_key
FastPLBF_N1000_k10_F1.0E-02_HF4096,1,378621.43333333335,120200.4497609588,357167.5,248265.15,651576.0,378621.43333333335,0.008362448402091613,1008,6.235663507444163e-05,2.5199995139802313e-05,0.0002382394392043352,8.782227008795462e-05,5.130268012483914e-06,4.406662592324116e-06,5.130268012483914e-06,4.406662592324116e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,8,556784.5333333333,1152366.3565833068,323999.5,308341.95,492045.3999999998,69598.06666666667,0.008362448402091613,1008,7.025852877025802e-05,2.1531461008123485e-05,0.0004033897692958514,0.001123816960808503,9.241562414293488e-06,1.4225535397628754e-06,1.155195301786686e-06,1.0361541274823311e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,64,1016141.5333333333,300813.0755166316,915024.0,747981.95,1637200.5999999982,15877.211458333333,0.008362448402091613,1008,0.0003086485026869923,0.0002114125159548503,0.0004614719209106018,8.234568706670496e-05,7.554050146912535e-05,2.0295825527847444e-05,1.1803203354550836e-06,1.0861701961215738e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,128,1800916.7,261493.0723510597,1795727.0,1456418.2,2234227.1999999997,14069.66171875,0.008362448402091613,1008,0.0004192496688726048,0.00015954998418918047,0.0008632728655356914,0.00012659540951891592,0.00017707822650360564,6.30943305392334e-05,1.383423644559419e-06,9.948176469544846e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,256,3548791.7666666666,799883.6701608417,4100111.5,2491510.4,4397218.2,13862.467838541666,0.008362448402091613,1008,0.0007314358973720421,5.48586113253282e-05,0.0016953202721197158,0.00041047493720222845,0.0004384710996722182,0.0001569513714500391,1.7127777330946023e-06,1.2939019970699503e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,352,3486837.8,121897.64126155614,3460463.5,3349897.15,3705619.8,9905.789204545454,0.008362448402091613,1008,0.001008898923949649,2.6957085591172993e-05,0.001643819035962224,6.79476202933373e-05,0.00032136137985313933,4.432627150576672e-05,9.129584654918731e-07,7.019797587867583e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,384,4299064.066666666,2175025.673399376,3794959.0,3634421.4,5244870.399999997,11195.479340277778,0.008362448402091613,1008,0.0011299028915042679,0.00013978147266152673,0.0022601994744036345,0.0021636090088795346,0.0003419008067188164,8.449347778431181e-05,8.903666841635842e-07,5.93045907455838e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,416,4180474.2333333334,270257.48138723423,4065247.5,3907000.6,4665455.0,10049.216907051283,0.008362448402091613,1008,0.0012315116260045518,8.189029456302078e-05,0.0019819088105577976,0.000162843688163888,0.0003722426811388383,8.354921108018394e-05,8.948141373529768e-07,5.5477438158602e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,448,4570136.166666667,497720.0842559991,4239679.5,4191679.0,5550870.399999999,10201.196800595239,0.008362448402091613,1008,0.0012881963009325167,5.736297774172121e-05,0.0021794377690336356,0.0002950642638238086,0.00042855235709187887,0.00014580464055371744,9.565900827943724e-07,6.032048328791349e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,480,4729372.466666667,421016.111788163,4578416.0,4439825.6,5793214.399999999,9852.859305555556,0.008362448402091613,1008,0.0013473586994223296,7.63369998676284e-05,0.0022456174541730435,0.00016876397844966376,0.00043910567571098604,0.00014162314345459928,9.148034910645543e-07,5.857291800679666e-07
