config_name,batch_size,avg_total_latency_ns,std_total_latency_ns,median_total_latency_ns,p5_total_latency_ns,p95_total_latency_ns,avg_per_item_latency_ns,measured_fpr,memory_usage_bytes,avg_predictor_data_movement_time,std_predictor_data_movement_time,avg_predictor_inference_time,std_predictor_inference_time,avg_backup_bf_time,std_backup_bf_time,avg_backup_bf_time_per_key,std_backup_bf_time_per_key
FastPLBF_N1000_k10_F1.0E-02_HF4096,1,4466204.133333334,1568406.1346459393,4145395.5,4045041.7,4774304.049999998,4466204.133333334,0.011295645587023189,11358,,,0.0044454263,0.0015669035241020173,9.695902311553558e-06,1.2670472903802872e-06,9.695902311553558e-06,1.2670472903802872e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,8,4684983.333333333,200920.5545902424,4616416.5,4544683.85,4885758.7,585622.9166666666,0.011295645587023189,11358,,,0.004645704233333333,0.00019762820879738028,2.1083039852480092e-05,2.6366904387414185e-06,2.6353799815600115e-06,2.9901105067553643e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,64,8929095.966666667,293092.3289030718,8843312.5,8742044.05,9295593.9,139517.12447916667,0.011295645587023189,11358,,,0.008731740200000001,0.00029043710645085415,0.00013305731505776445,3.978884623091218e-06,2.0790205477775695e-06,1.9888739151668956e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,128,13577232.033333333,1716102.2868193649,13196396.0,12904281.4,14654510.899999999,106072.12526041667,0.011295645587023189,11358,,,0.013209083466666667,0.0017115877877621707,0.0002484869755183657,6.979609230010501e-06,1.941304496237232e-06,1.957811967036237e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,256,23782222.266666666,682085.083292447,23881229.5,22893012.5,24539814.95,92899.30572916666,0.011295645587023189,11358,,,0.0230465125,0.0006681173075554068,0.000503926999711742,1.4013381386132292e-05,1.9684648426239923e-06,1.93679621902068e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,352,28725218.1,561801.0135538144,28644542.0,28136198.25,29546472.55,81605.73323863637,0.011295645587023189,11358,,,0.0277146972,0.0005540537398597533,0.0007048509665764868,1.5659539831175933e-05,2.002417518683201e-06,1.8700196373803613e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,384,30446319.4,543486.0692368519,30337395.5,29688035.9,31571618.75,79287.29010416666,0.011295645587023189,11358,,,0.029391154166666666,0.000531351842038067,0.0007238462489719192,1.8459982259512145e-05,1.885016273364373e-06,1.8581286073870705e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,416,35062427.8,2533984.5666745733,34441375.0,33622908.7,40104004.09999998,84284.68221153846,0.011295645587023189,11358,,,0.03390412786666667,0.002494350809091875,0.0007915696051592629,3.3923561151618655e-05,1.9028115508636125e-06,1.919110984903353e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,448,36032015.3,523985.94083831797,36058000.0,35240703.8,36857581.55,80428.60558035714,0.011295645587023189,11358,,,0.03475549583333334,0.0005153356033437439,0.0008884674209790925,2.316648510699809e-05,1.9831862075426173e-06,2.0017390632367497e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,480,38812418.0,587970.2160194851,38810479.5,37909302.05,39840937.5,80859.20416666666,0.011295645587023189,11358,,,0.037452647066666664,0.0005725294842867492,0.0009426967590115964,2.9401324348570366e-05,1.9639515812741593e-06,1.906164015213173e-06
