config_name,batch_size,avg_total_latency_ns,std_total_latency_ns,median_total_latency_ns,p5_total_latency_ns,p95_total_latency_ns,avg_per_item_latency_ns,measured_fpr,memory_usage_bytes,avg_predictor_data_movement_time,std_predictor_data_movement_time,avg_predictor_inference_time,std_predictor_inference_time,avg_backup_bf_time,std_backup_bf_time,avg_backup_bf_time_per_key,std_backup_bf_time_per_key
BF_Cap223088_Err1.0E-02,1,4272.75,4708.43882803721,3083.0,3000.0,5644.100000000014,4272.75,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,8,17437.65,4294.393043014896,16270.5,16122.95,18954.800000000014,2179.70625,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,64,127987.4,11374.753759740772,123312.0,122078.85,138510.10000000003,1999.803125,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,128,256414.65,24263.06534908997,250000.0,248358.35,275125.35000000003,2003.239453125,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,256,1000416.45,2252123.408596838,496270.5,495320.5,1005331.2500000072,3907.8767578125,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,512,1000116.65,35122.37020426995,992166.5,988362.5,1009496.1500000001,1953.35283203125,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,768,1506093.6,51783.45300779513,1483937.5,1481551.45,1554116.6500000001,1961.059375,0.007962011926333036,,,,,,,,,
BF_Cap223088_Err1.0E-02,1024,2563849.95,2305315.8565243455,2025479.0,2019912.8,2736385.4000000074,2503.759716796875,0.007962011926333036,,,,,,,,,
