config_name,batch_size,avg_total_latency_ns,std_total_latency_ns,median_total_latency_ns,p5_total_latency_ns,p95_total_latency_ns,avg_per_item_latency_ns,measured_fpr,memory_usage_bytes,avg_predictor_data_movement_time,std_predictor_data_movement_time,avg_predictor_inference_time,std_predictor_inference_time,avg_backup_bf_time,std_backup_bf_time,avg_backup_bf_time_per_key,std_backup_bf_time_per_key
FastPLBF_N1000_k10_F1.0E-02_HF4096,1,63441.666666666664,43759.21538517843,52875.0,51214.4,72237.34999999998,63441.666666666664,0.007998718603277572,267375,,,4.8479333333333335e-05,3.364253659645298e-05,4.207036302735408e-06,2.1377456529419166e-06,4.207036302735408e-06,2.1377456529419166e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,8,140318.1,55109.5779292618,129729.0,124435.35,148010.44999999995,17539.7625,0.007998718603277572,267375,,,0.00010026516666666666,4.1155076482514395e-05,2.409696268538634e-05,3.4757378688807793e-06,3.0121203356732926e-06,9.23601414655899e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,64,602598.7,70903.7989912364,591020.5,524742.0,687197.7999999999,9415.6046875,0.007998718603277572,267375,,,0.0003413195,5.682188388516012e-05,0.0001869095916238924,9.965727360371528e-06,2.9204623691233187e-06,5.438373373442284e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,128,1162945.8333333333,114820.56540655777,1154541.5,1001501.75,1349295.5,9085.514322916666,0.007998718603277572,267375,,,0.0006386321666666667,8.331329729445784e-05,0.00037310188636183737,1.534019831858864e-05,2.9148584872018544e-06,4.974554888033238e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,256,2538019.433333333,288266.14437460195,2424083.5,2302126.75,3151074.85,9914.138411458332,0.007998718603277572,267375,,,0.0014435862,0.00024212023737439728,0.0007863491075113416,1.8967227297947198e-05,3.071676201216178e-06,9.136239900672543e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,352,3287791.6,192907.03197593786,3276958.0,2922445.5,3524585.7499999995,9340.317045454545,0.007998718603277572,267375,,,0.0018025874333333334,0.0001497009410673858,0.0010789728568245968,2.9804413726015955e-05,3.06526379779715e-06,7.842439967311641e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,384,3682466.6333333333,187674.20231448478,3681937.5,3426796.05,4010246.5,9589.75685763889,0.007998718603277572,267375,,,0.002071068033333333,0.00014562966446257303,0.0011598706284227471,3.566714540098192e-05,3.020496428184237e-06,7.443797889441996e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,416,3943794.433333333,449303.11249792494,4094791.5,3059406.25,4418497.95,9480.275080128205,0.007998718603277572,267375,,,0.0022282553333333333,0.000361156253704331,0.0012550792346398036,2.3035629049815694e-05,3.0170173909610663e-06,6.751038491863624e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,448,4425552.8,207536.3332274035,4422958.5,4190635.6,4807203.949999999,9878.466071428571,0.007998718603277572,267375,,,0.002484616833333333,0.00015747581230781364,0.0013869484226840237,4.1310375466641694e-05,3.095867014919696e-06,9.538077044642328e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,480,4993972.133333334,1543939.4615019774,4757625.0,4489533.15,4988823.25,10404.108611111113,0.007998718603277572,267375,,,0.0029146332666666664,0.0014848561272312322,0.0015062541584484278,5.279323652845535e-05,3.138029496767558e-06,1.0304813779007162e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,512,5110656.866666666,124775.71364037301,5108437.5,4935125.15,5264952.05,9981.751692708332,0.007998718603277572,267375,,,0.0028703124666666665,0.00012300352955539555,0.0015839421617177625,3.5084924524966205e-05,3.093637034605005e-06,9.063146055211003e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,576,5394062.433333334,408796.1287361982,5286375.5,5077997.4,6073370.9,9364.691724537037,0.007998718603277572,267375,,,0.0028272708,0.00040407063733524407,0.0018221147591248154,4.691737811495405e-05,3.163393679036138e-06,1.096492461859612e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,640,5782202.7,183930.28515664148,5749458.0,5546247.55,6016220.8,9034.69171875,0.007998718603277572,267375,,,0.002997687366666667,0.00014514289795173046,0.001978775792910407,4.020180044788917e-05,3.091837176422511e-06,1.0027369570233907e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,704,6354730.4,161819.29253946332,6345812.5,6186776.75,6459749.85,9026.605681818182,0.007998718603277572,267375,,,0.0033099553333333334,0.00014362163394845154,0.0021928576480907697,3.341010103428569e-05,3.114854613765298e-06,1.0634878685309098e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,768,6779409.8,181465.89897057795,6745812.5,6533220.65,7191808.3,8827.356510416666,0.007998718603277572,267375,,,0.0034993959,0.00014620161402178797,0.002390376610370974,4.6541976429929174e-05,3.112469544753872e-06,1.0941652619534564e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,832,7349997.133333334,196452.54558039224,7313521.0,7125397.95,7650233.0,8834.131169871795,0.007998718603277572,267375,,,0.0038250986,0.00017536967492475373,0.0025782869081012903,4.912407947884983e-05,3.0989025337755894e-06,1.1054290126944667e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,896,7950023.6,268562.7186448325,7974479.5,7627718.9,8357035.45,8872.794196428571,0.007998718603277572,267375,,,0.004190704133333333,0.00021946434195036272,0.0027569939886840683,6.531001049405362e-05,3.077002219513469e-06,1.1424309981663512e-06
