config_name,batch_size,avg_total_latency_ns,std_total_latency_ns,median_total_latency_ns,p5_total_latency_ns,p95_total_latency_ns,avg_per_item_latency_ns,measured_fpr,memory_usage_bytes,avg_predictor_data_movement_time,std_predictor_data_movement_time,avg_predictor_inference_time,std_predictor_inference_time,avg_backup_bf_time,std_backup_bf_time,avg_backup_bf_time_per_key,std_backup_bf_time_per_key
FastPLBF_N1000_k10_F1.0E-02_HF4096,1,64347.9,40139.929331356776,53916.5,49118.75,86601.8000000001,64347.9,0.008098827722217216,267740,,,41160.35,22725.361115247895,4.160392563790083e-06,2.1772103349764055e-06,4.160392563790083e-06,2.1772103349764055e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,8,132947.9,48497.69268944658,119687.5,117591.7,157939.90000000014,16618.4875,0.008098827722217216,267740,,,80406.1,32237.991036892123,2.4324958212673663e-05,3.135987031993164e-06,3.040619776584208e-06,7.35637130531263e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,64,556597.9,104257.07304739821,519771.0,466056.25,740218.4000000001,8696.8421875,0.008098827722217216,267740,,,191175.0,70726.32807184546,0.0001898585702292621,1.800669321458192e-05,2.9665401598322204e-06,7.916792766411441e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,256,2211243.75,224266.28296428872,2206521.0,1904140.2,2629347.9,8637.6708984375,0.008098827722217216,267740,,,626008.35,70064.19093064437,0.000788417732110247,2.3636117117885464e-05,3.0797567660556524e-06,8.111397574746309e-07
FastPLBF_N1000_k10_F1.0E-02_HF4096,1024,8696370.9,491796.23995415226,8619000.0,8275845.5,9110118.750000002,8492.54970703125,0.008098827722217216,267740,,,2119091.8,181063.75662372285,0.0031598314410075544,0.0001576569099889011,3.08577289160894e-06,1.2138542991731052e-06
