config_name,batch_size,avg_total_latency_ns,std_total_latency_ns,median_total_latency_ns,p5_total_latency_ns,p95_total_latency_ns,avg_per_item_latency_ns,measured_fpr,memory_usage_bytes,avg_predictor_data_movement_time,std_predictor_data_movement_time,avg_predictor_inference_time,std_predictor_inference_time,avg_backup_bf_time,std_backup_bf_time,avg_backup_bf_time_per_key,std_backup_bf_time_per_key
FastPLBF_N1000_k10_F1.0E-02_HF4096,1,342383.3333333333,145833.63653559284,282229.5,265533.3,631776.8999999999,342383.3333333333,0.009807356685453811,58270,,,0.00032414306666666664,0.00013936060574661825,8.831933761636417e-06,7.827669163323815e-06,8.831933761636417e-06,7.827669163323815e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,8,754834.7666666667,1876583.97158185,380062.5,369745.65,777543.7499999987,94354.34583333334,0.009807356685453811,58270,,,0.0007202082666666667,0.001873677618937189,1.9909709226340056e-05,3.153983752734301e-06,2.488713653292507e-06,2.2608519232553635e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,64,1188222.2666666666,131589.4359576428,1143083.5,1109298.1,1421010.0499999993,18565.972916666666,0.009807356685453811,58270,,,0.0009874694,0.0001221490644862619,0.00013975502224639058,7.800891064069396e-06,2.183672222599853e-06,1.6816860090252898e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,128,2048347.1666666667,147057.9352645807,2011896.0,1979578.95,2147733.3,16002.712239583334,0.009807356685453811,58270,,,0.0016337456666666666,0.0001362379897740647,0.00029279889228443307,9.187075566451893e-06,2.2874913459721333e-06,1.652260077207686e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,256,3848102.7666666666,156519.52006140965,3809583.5,3765004.65,3984766.3,15031.651432291666,0.009807356685453811,58270,,,0.0030657917333333333,0.00012902750815365005,0.0005644830293022096,2.5752097690652422e-05,2.2050118332117562e-06,1.6642896777218229e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,352,5250583.266666667,246816.97755833145,5159000.0,5028072.25,5757283.85,14916.429734848485,0.009807356685453811,58270,,,0.004178670866666667,0.0002246644152520228,0.0007696604472585023,2.2946927272213935e-05,2.186535361529836e-06,1.6333778049718977e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,384,5746319.466666667,201259.12185722223,5701395.5,5543941.85,6157185.75,14964.373611111112,0.009807356685453811,58270,,,0.004569012633333334,0.00016826245994166236,0.0008469131270733972,3.444387751397831e-05,2.205502935086972e-06,1.6224742077065742e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,416,6116044.4,305767.5358534706,6020791.5,5936785.3,6708708.1499999985,14702.029807692308,0.009807356685453811,58270,,,0.004858874933333333,0.0002763499643237168,0.0009066149670009812,2.9558368985606826e-05,2.1793629014446663e-06,1.7057057112872298e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,448,6702343.133333334,298273.8709875752,6589104.0,6496719.05,7249987.5,14960.587351190477,0.009807356685453811,58270,,,0.0053042542,0.0002679386857215015,0.0010171450946169596,3.5150886230400325e-05,2.2704131576271416e-06,1.754367153956771e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,480,6827779.266666667,237805.00802257317,6744542.0,6677406.1,7108417.0,14224.54013888889,0.009807356685453811,58270,,,0.005351211266666667,0.00019716701890720473,0.0010717350329893331,2.6743293245953624e-05,2.2327813187277773e-06,1.5793880582462909e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,512,7381022.233333333,247446.15721316903,7315167.0,7203895.65,7716881.399999999,14416.059049479167,0.009807356685453811,58270,,,0.005846005566666666,0.00018201781799776585,0.0010974706150591374,3.3701875704108275e-05,2.143497295037378e-06,1.6471060555345393e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,576,8578216.566666666,1842227.0805958763,8165562.0,8026578.65,8827862.5,14892.737094907407,0.009807356685453811,58270,,,0.0067681068,0.0017879276788202436,0.001326378023562332,5.443842999394809e-05,2.30273962424016e-06,1.5933385104255369e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,640,9165233.433333334,295868.1977137657,9061854.0,8920714.7,9790359.0,14320.677239583334,0.009807356685453811,58270,,,0.007216697233333333,0.00022218502864096193,0.0014004338920737306,4.76843488876533e-05,2.188177956365204e-06,1.6214334293637192e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,704,10141161.066666666,301093.3201659365,10104854.0,9807292.0,10686770.65,14405.058333333332,0.009807356685453811,58270,,,0.007962720933333334,0.00024407911689025452,0.0015754255621383587,6.438746493529002e-05,2.2378204007647143e-06,1.7188855337740129e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,768,10856402.8,235034.71631866027,10770021.0,10683926.9,11317203.5,14135.941145833334,0.009807356685453811,58270,,,0.008520926566666667,0.0001855654702854331,0.0016888625686988235,2.1480926350446683e-05,2.19903980299326e-06,1.5570375977095817e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,832,12284290.266666668,485055.8752212832,12251896.0,11579358.55,13234935.75,14764.771955128206,0.009807356685453811,58270,,,0.009647808266666667,0.0003686804433138994,0.001873794295048962,9.924299103110906e-05,2.2521566046261563e-06,1.8293116725045705e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,896,12589140.366666667,190582.8016658165,12555625.0,12428216.85,12873758.15,14050.379873511905,0.009807356685453811,58270,,,0.009905226433333334,0.00013624058712203736,0.0019359444927734633,3.6266936317814624e-05,2.160652335684669e-06,1.5615461639508797e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,960,13569766.7,288623.65296985884,13490041.5,13360040.25,13910877.05,14135.173645833333,0.009807356685453811,58270,,,0.010607041733333333,0.0002182518878891266,0.002165245412228008,6.051919668903776e-05,2.2554639710708417e-06,1.611552120239562e-06
FastPLBF_N1000_k10_F1.0E-02_HF4096,1024,14286187.433333334,213802.7563379441,14220583.5,14158628.65,14566712.5,13951.354915364584,0.009807356685453811,58270,,,0.011203227733333333,0.00017839034576010325,0.0022508551056186358,2.1685351080917393e-05,2.198100689080699e-06,1.5702075089179507e-06
